method,component,score,device,normalised_score
acidification: terrestrial,Implant (material),0.01566226217171665,CM HTO,0.6657156838328545
climate change,Implant (material),4.008664483285737,CM HTO,0.39210885768121523
ecotoxicity: freshwater,Implant (material),0.3246247657568158,CM HTO,0.733401067681085
ecotoxicity: marine,Implant (material),0.453534733924681,CM HTO,0.7355152260316298
ecotoxicity: terrestrial,Implant (material),7.366651193853992,CM HTO,0.22925930838369643
"energy resources: non-renewable, fossil",Implant (material),0.8809259856078193,CM HTO,0.48972940483295385
eutrophication: freshwater,Implant (material),0.0018681612331499446,CM HTO,0.7973633307824892
eutrophication: marine,Implant (material),9.567451051439753e-05,CM HTO,0.4505200631655186
human toxicity: carcinogenic,Implant (material),1.3674708191112859,CM HTO,0.5583384533968034
human toxicity: non-carcinogenic,Implant (material),3.756960697616527,CM HTO,0.6530841407409229
ionising radiation,Implant (material),0.19983111055141856,CM HTO,0.146972023130661
land use,Implant (material),0.13724566390850731,CM HTO,0.4439070261057857
material resources: metals/minerals,Implant (material),0.3701999767309644,CM HTO,0.8317541444728591
ozone depletion,Implant (material),1.50802861357381e-06,CM HTO,0.5393858816476544
particulate matter formation,Implant (material),0.00728374723783236,CM HTO,0.6355141542911416
photochemical oxidant formation: human health,Implant (material),0.009166548307790134,CM HTO,0.5304197835634973
photochemical oxidant formation: terrestrial ecosystems,Implant (material),0.009273204076593392,CM HTO,0.5294337641208744
water use,Implant (material),0.025666680138297097,CM HTO,0.5034727770013792
acidification: terrestrial,Implant (manufac.),0.000542453949427964,CM HTO,0.02305670138400508
climate change,Implant (manufac.),0.4536477771395613,CM HTO,0.044373709105735765
ecotoxicity: freshwater,Implant (manufac.),0.011758731574074121,CM HTO,0.0265656450175511
ecotoxicity: marine,Implant (manufac.),0.014743895059639729,CM HTO,0.023910758087997905
ecotoxicity: terrestrial,Implant (manufac.),0.6543708477609838,CM HTO,0.020364831188057153
"energy resources: non-renewable, fossil",Implant (manufac.),0.1304054178305563,CM HTO,0.0724957246176439
eutrophication: freshwater,Implant (manufac.),2.402042728303306e-05,CM HTO,0.010252331311320246
eutrophication: marine,Implant (manufac.),1.1376156550634595e-05,CM HTO,0.05356898864929615
human toxicity: carcinogenic,Implant (manufac.),0.009214297194408949,CM HTO,0.003762198339273021
human toxicity: non-carcinogenic,Implant (manufac.),0.1647082223690394,CM HTO,0.028631741595564718
ionising radiation,Implant (manufac.),0.5001687582848231,CM HTO,0.36786471390277303
land use,Implant (manufac.),0.02504916654927367,CM HTO,0.08101896054602674
material resources: metals/minerals,Implant (manufac.),0.002181742379802036,CM HTO,0.0049018729892876265
ozone depletion,Implant (manufac.),2.649940700218383e-07,CM HTO,0.09478206103224822
particulate matter formation,Implant (manufac.),0.0002089011464531533,CM HTO,0.01822683175070403
photochemical oxidant formation: human health,Implant (manufac.),0.0003870710181384632,CM HTO,0.022397757451430727
photochemical oxidant formation: terrestrial ecosystems,Implant (manufac.),0.00040174752247567496,CM HTO,0.02293691601022861
water use,Implant (manufac.),0.009889247435487128,CM HTO,0.19398562034399552
acidification: terrestrial,Argon,8.609924087950661e-08,CM HTO,3.659600024005226e-06
climate change,Argon,2.6532685462663727e-05,CM HTO,2.5953035060326563e-06
ecotoxicity: freshwater,Argon,6.135508253214133e-07,CM HTO,1.386150650947024e-06
ecotoxicity: marine,Argon,8.218906411278882e-07,CM HTO,1.332892577931753e-06
ecotoxicity: terrestrial,Argon,2.4773228583571923e-05,CM HTO,7.709735539317143e-07
"energy resources: non-renewable, fossil",Argon,6.549806071482064e-06,CM HTO,3.6412055967959488e-06
eutrophication: freshwater,Argon,1.2300818066066805e-08,CM HTO,5.250200619981073e-06
eutrophication: marine,Argon,8.780058400398567e-10,CM HTO,4.134426655414401e-06
human toxicity: carcinogenic,Argon,1.0675860231710303e-06,CM HTO,4.3589546534729234e-07
human toxicity: non-carcinogenic,Argon,1.9461259074614818e-05,CM HTO,3.3830110782219847e-06
ionising radiation,Argon,3.295837846598512e-06,CM HTO,2.4240267438264794e-06
land use,Argon,3.637222856192579e-07,CM HTO,1.176422435067078e-06
material resources: metals/minerals,Argon,7.258673819016204e-08,CM HTO,1.6308569453884513e-07
ozone depletion,Argon,9.342939729662475e-12,CM HTO,3.3417467930678875e-06
particulate matter formation,Argon,5.5034831962917284e-08,CM HTO,4.801843549677752e-06
photochemical oxidant formation: human health,Argon,5.6557334313017176e-08,CM HTO,3.2726745136710138e-06
photochemical oxidant formation: terrestrial ecosystems,Argon,5.696471537972571e-08,CM HTO,3.252278655409651e-06
water use,Argon,6.902447052202344e-07,CM HTO,1.3539710499185214e-05
acidification: terrestrial,Instruments (material),0.002511745943349746,CM HTO,0.10676035491929223
climate change,Instruments (material),0.6940001585859248,CM HTO,0.06788385771578984
ecotoxicity: freshwater,Instruments (material),0.05613699080502739,CM HTO,0.12682621086171986
ecotoxicity: marine,Instruments (material),0.08149489964499786,CM HTO,0.13216350380513525
ecotoxicity: terrestrial,Instruments (material),19.24589063179097,CM HTO,0.5989559515392623
"energy resources: non-renewable, fossil",Instruments (material),0.16372138390725344,CM HTO,0.09101692674442442
eutrophication: freshwater,Instruments (material),0.00023199585799902917,CM HTO,0.0990198205483262
eutrophication: marine,Instruments (material),1.946746662487248e-05,CM HTO,0.09167002001217822
human toxicity: carcinogenic,Instruments (material),1.0308825644711377,CM HTO,0.42090943999420305
human toxicity: non-carcinogenic,Instruments (material),0.9145021347836554,CM HTO,0.15897074496409444
ionising radiation,Instruments (material),0.04398141830637136,CM HTO,0.032347505905393176
land use,Instruments (material),0.021840383870638334,CM HTO,0.07064048201542396
material resources: metals/minerals,Instruments (material),0.06316527556835339,CM HTO,0.1419178364209599
ozone depletion,Instruments (material),2.044119727100527e-07,CM HTO,0.07311328918239492
particulate matter formation,Instruments (material),0.002268946573181459,CM HTO,0.19796783379544092
photochemical oxidant formation: human health,Instruments (material),0.001597558113474946,CM HTO,0.09244225856087535
photochemical oxidant formation: terrestrial ecosystems,Instruments (material),0.0016460235962305646,CM HTO,0.09397619864570761
water use,Instruments (material),0.0051285275397525785,CM HTO,0.10060023300460214
acidification: terrestrial,Instruments (manufac.),4.581565360725822e-05,CM HTO,0.0019473687030014861
climate change,Instruments (manufac.),0.023099105127416114,CM HTO,0.002259446696707699
ecotoxicity: freshwater,Instruments (manufac.),0.0009345011233793605,CM HTO,0.0021112502616298197
