scenario,energy_scenario,mean,median,minimum,maximum,25th Percentile,75th Percentile,IQR,component
AM HTO,Current,9.439945548447332,9.41094484846446,8.136805057443626,15.0183749231968,9.082347989584369,9.757078654127014,0.6747306645426452,instruments and implant (mat and mnf)
AM HTO,Greener,6.541039945384948,6.5056222955994185,5.327630416593562,9.919081871904275,6.281691776902914,6.758344687908277,0.4766529110053632,instruments and implant (mat and mnf)
AM HTO (steel jig),Current,7.993834752470209,7.979466307936212,6.917458215024686,10.673477518247601,7.746511790521007,8.227999353364693,0.4814875628436859,instruments and implant (mat and mnf)
AM HTO (steel jig),Greener,4.3941127186560465,4.381339183104808,3.62660070727397,6.092268725335528,4.213601585830567,4.546891617355171,0.3332900315246041,instruments and implant (mat and mnf)
CM HTO,Current,5.612045499753684,5.5532784285590076,3.454300634295053,10.030072396192994,4.908864390421298,6.273653200628473,1.364788810207175,instruments and implant (mat and mnf)
UKR,Current,29.365986230601514,29.30503328698412,24.263850220320606,34.73638376410136,28.322802185284008,30.2895802835955,1.9667780983114937,instruments and implant (mat and mnf)
