material,score
CoCr,34.1571472
CoCr,32.23328873
CoCr,30.51621047
CoCr,30.12426728
CoCr,31.69096637
CoCr,36.14863932
CoCr,30.44048607
CoCr,33.45644358
CoCr,31.59487248
CoCr,31.25974495
CoCr,31.14672873
CoCr,34.32784079
CoCr,37.66711809
CoCr,31.44176605
CoCr,33.41649792
CoCr,31.42364337
CoCr,32.79230153
CoCr,32.87611047
CoCr,31.49773528
CoCr,33.65843229
CoCr,29.88435686
CoCr,33.77561603
CoCr,35.30655859
CoCr,31.24199098
CoCr,33.80199793
CoCr,33.33406271
CoCr,32.31435462
CoCr,35.37673151
CoCr,30.35221022
CoCr,35.6837338
CoCr,34.74195345
CoCr,31.2065388
CoCr,36.89875915
CoCr,32.70713869
CoCr,35.10805533
CoCr,33.89536285
CoCr,35.14207816
CoCr,35.37755739
CoCr,33.6202546
CoCr,30.01753391
CoCr,34.6216745
CoCr,33.72100428
CoCr,35.61974674
CoCr,31.15449734
CoCr,31.00995253
CoCr,34.79318954
CoCr,33.12255346
CoCr,33.10164533
CoCr,30.82408669
CoCr,35.11983902
CoCr,32.87020025
CoCr,32.24480555
CoCr,32.87137988
CoCr,32.46248712
CoCr,29.20817324
CoCr,32.01929225
CoCr,32.30405699
CoCr,31.86386615
CoCr,31.32616975
CoCr,31.60774485
CoCr,31.35275923
CoCr,34.14774593
CoCr,30.87256507
CoCr,29.60207568
CoCr,31.77197155
CoCr,32.83940929
CoCr,32.3186048
CoCr,34.11939553
CoCr,31.11612436
CoCr,35.10944558
CoCr,31.43798333
CoCr,31.2914024
CoCr,28.59887975
CoCr,31.70281208
CoCr,33.65368523
CoCr,30.81508249
CoCr,32.35790632
CoCr,31.8154298
CoCr,33.3900189
CoCr,36.63345501
CoCr,32.50779421
CoCr,32.29188609
CoCr,31.93033598
CoCr,32.79253614
CoCr,34.0657384
CoCr,30.20955352
CoCr,30.60027274
CoCr,33.25210985
CoCr,32.21972931
CoCr,30.19446887
CoCr,30.46181423
CoCr,30.90702475
CoCr,33.2806486
CoCr,33.51863336
CoCr,33.46211357
CoCr,33.24141559
CoCr,32.11981055
CoCr,34.29557351
CoCr,34.16756017
CoCr,34.05508396
CoCr,31.05609146
CoCr,33.58849922
CoCr,33.64774799
CoCr,35.07770967
CoCr,30.86368294
CoCr,34.57800015
CoCr,32.43303308
CoCr,28.29875033
CoCr,32.94597134
CoCr,31.22181995
CoCr,31.93895939
CoCr,32.90886475
CoCr,30.44730543
CoCr,32.49165028
CoCr,31.46235741
CoCr,30.62785582
CoCr,34.02950328
CoCr,33.68544214
CoCr,34.43497194
CoCr,31.98923168
CoCr,35.59188329
CoCr,31.7803357
CoCr,35.03714781
CoCr,31.93099966
CoCr,32.10741504
CoCr,32.28322349
CoCr,32.84473762
CoCr,33.09048995
CoCr,39.64000921
CoCr,33.39750508
CoCr,32.83047903
CoCr,35.41640807
CoCr,31.34079708
CoCr,32.85572357
CoCr,31.80678341
CoCr,31.80968041
CoCr,32.32638335
CoCr,30.888464
CoCr,31.95597377
CoCr,33.98985012
CoCr,29.55872527
CoCr,31.74878458
CoCr,33.19037602
CoCr,32.10269416
CoCr,31.77666882
CoCr,31.22370313
CoCr,31.41959935
CoCr,28.54786356
CoCr,34.12469443
CoCr,31.36317093
CoCr,32.57039265
CoCr,33.58622929
CoCr,31.96029292
CoCr,33.6512038
CoCr,32.91616298
CoCr,33.41561614
CoCr,30.91139022
CoCr,34.20167139
CoCr,32.5163191
CoCr,34.8688798
CoCr,32.25372547
CoCr,32.14115706
CoCr,34.2795203
CoCr,32.50154338
CoCr,34.0404234
CoCr,35.39907724
CoCr,34.55531396
CoCr,31.82162575
CoCr,31.13643976
CoCr,31.17111588
CoCr,30.3176026
CoCr,33.73393063
CoCr,35.50121254
CoCr,31.13713841
CoCr,33.8591956
CoCr,33.05027625
CoCr,31.83791227
CoCr,31.03380762
CoCr,32.66904749
CoCr,33.8134757
CoCr,29.5432726
CoCr,31.09742153
CoCr,30.29710248
CoCr,33.68112092
CoCr,33.02580622
CoCr,35.89470709
CoCr,31.44378177
CoCr,31.00818417
CoCr,31.09050618
CoCr,34.763589
CoCr,33.246736
CoCr,32.66607312
CoCr,33.13041236
CoCr,34.11795273
CoCr,34.40143173
CoCr,30.47715246
CoCr,32.0082313
CoCr,31.99345543
CoCr,31.31560311
CoCr,31.48273526
CoCr,36.11413608
CoCr,34.39039195
CoCr,34.23768124
CoCr,32.21045589
CoCr,32.0887049
CoCr,34.57118241
CoCr,32.37211772
CoCr,32.35460543
CoCr,32.42400467
CoCr,33.76021155
CoCr,32.56705072
CoCr,31.13268112
CoCr,31.20929669
CoCr,30.52929695
CoCr,33.05457955
CoCr,31.21681122
CoCr,32.5095786
CoCr,28.64685203
CoCr,29.66664572
CoCr,34.36434701
CoCr,32.9708192
CoCr,33.2922084
CoCr,32.77786698
