scenario,energy_scenario,mean,median,minimum,maximum,25th Percentile,75th Percentile,IQR,hdi_90_lower,hdi_90_upper
AM HTO,Current,1.2588945659950774,1.252591842437443,0.9568788216622324,1.6432022369961623,1.1688883474227496,1.3369732389002162,0.16808489147746664,1.0758517093330544,1.4493398703349876
AM HTO,Greener,0.9885023406682081,0.9804228520484367,0.7151666101118755,1.3005050859486502,0.9154183895090289,1.0548188872041997,0.13940049769517082,0.8337712584265304,1.1751415919770631
AM HTO (steel jig),Current,1.1229079436946112,1.118688019862414,0.87744791644043,1.4666849914224984,1.0414255299567543,1.1939026061442348,0.15247707618748052,0.9692842256279608,1.3109520697560386
AM HTO (steel jig),Greener,0.785946691790345,0.7811090970315391,0.5679095721522776,1.0312959300020423,0.7273986004924571,0.8396487565157496,0.11225015602329247,0.659090171433398,0.9288710210148436
CM HTO,Current,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
UKR,Current,3.5652540038650002,3.557506416475313,2.7391502808728663,4.507325113406359,3.3269747450832274,3.791742328144076,0.46476758306084864,3.108442556703861,4.100813369190131
