method,component,score,device,normalised_score
acidification: terrestrial,Implant (material),0.015662262171716616,CM HTO,0.665715683832854
climate change,Implant (material),4.008664483285729,CM HTO,0.3921088576812148
ecotoxicity: freshwater,Implant (material),0.3246247657568152,CM HTO,0.7334010676810843
ecotoxicity: marine,Implant (material),0.4535347339246802,CM HTO,0.735515226031629
ecotoxicity: terrestrial,Implant (material),7.366651193853959,CM HTO,0.2292593083836954
"energy resources: non-renewable, fossil",Implant (material),0.8809259856078167,CM HTO,0.4897294048329532
eutrophication: freshwater,Implant (material),0.001868161233149941,CM HTO,0.7973633307824891
eutrophication: marine,Implant (material),9.567451051439625e-05,CM HTO,0.4505200631655153
human toxicity: carcinogenic,Implant (material),1.3674708191112837,CM HTO,0.5583384533968032
human toxicity: non-carcinogenic,Implant (material),3.7569606976165146,CM HTO,0.6530841407409219
ionising radiation,Implant (material),0.19983111055141833,CM HTO,0.14697202313066082
land use,Implant (material),0.13724566390850518,CM HTO,0.44390702610578225
material resources: metals/minerals,Implant (material),0.3701999767309635,CM HTO,0.8317541444728594
ozone depletion,Implant (material),1.5080286135738036e-06,CM HTO,0.5393858816476534
particulate matter formation,Implant (material),0.007283747237832348,CM HTO,0.6355141542911412
photochemical oxidant formation: human health,Implant (material),0.009166548307790116,CM HTO,0.530419783563497
photochemical oxidant formation: terrestrial ecosystems,Implant (material),0.009273204076593374,CM HTO,0.529433764120874
water use,Implant (material),0.025666680138297024,CM HTO,0.5034727770013784
acidification: terrestrial,Implant (manufac.),0.0005424539494279626,CM HTO,0.023056701384005056
climate change,Implant (manufac.),0.45364777713956067,CM HTO,0.044373709105735744
ecotoxicity: freshwater,Implant (manufac.),0.011758731574074107,CM HTO,0.026565645017551088
ecotoxicity: marine,Implant (manufac.),0.014743895059639711,CM HTO,0.023910758087997898
ecotoxicity: terrestrial,Implant (manufac.),0.6543708477609832,CM HTO,0.020364831188057136
"energy resources: non-renewable, fossil",Implant (manufac.),0.13040541783055615,CM HTO,0.07249572461764393
eutrophication: freshwater,Implant (manufac.),2.4020427283032903e-05,CM HTO,0.010252331311320197
eutrophication: marine,Implant (manufac.),1.1376156550634558e-05,CM HTO,0.05356898864929629
human toxicity: carcinogenic,Implant (manufac.),0.009214297194408937,CM HTO,0.0037621983392730207
