material,mean,median,25th Percentile,75th Percentile,IQR
CoCr,32.6303291717,32.477687290000006,31.416099207499997,33.73088785,2.3147886425000053
Ti6Al4V_powder,59.84079956869,59.393429874999995,56.924139425,62.00367266,5.0795332349999995
Ti6Al4V_workpiece,52.0230818946,51.768341445000004,49.79808644,53.939947745,4.141861304999999
UHMWPE,3.1823782713049997,3.1452524745000003,2.61757693575,3.6867400045,1.06916306875
stainless_steel,6.707711630056,6.499470350999999,5.924960682749999,7.3189905815,1.3940298987500004
