scenario,component,method,iteration,score,activity labels,energy_scenario
AM HTO,Instruments (material),climate change,3,3.5844489831839486,,Current
AM HTO,Instruments (manufac.),climate change,3,1.71868046734755,,Current
AM HTO,Packaging,climate change,3,0.2897988995633283,,Current
AM HTO,Sterilisation,climate change,3,0.08880279287158555,,Current
AM HTO,Transport,climate change,3,0.051187851160637676,,Current
AM HTO,Anesthesia,climate change,3,2.602401997166621,,Current
AM HTO,End-of-life,climate change,3,0.0,,Current
AM HTO (steel jig),Total,climate change,3,12.346810334712043,,Current
AM HTO (steel jig),Implant (material),climate change,3,2.6812077884459136,,Current
AM HTO (steel jig),Implant (manufac.),climate change,3,1.5585632632230628,,Current
AM HTO (steel jig),Argon,climate change,3,1.4616563841557468,,Current
AM HTO (steel jig),Instruments (material),climate change,3,1.1654840518881393,,Current
AM HTO (steel jig),Instruments (manufac.),climate change,3,2.4517049463137544,,Current
AM HTO (steel jig),Packaging,climate change,3,0.2897988995633283,,Current
AM HTO (steel jig),Sterilisation,climate change,3,0.08880279287158545,,Current
AM HTO (steel jig),Transport,climate change,3,0.04719021108388807,,Current
AM HTO (steel jig),Anesthesia,climate change,3,2.602401997166621,,Current
AM HTO (steel jig),End-of-life,climate change,3,0.0,,Current
UKR,Total,climate change,4,38.08887700955516,,Current
UKR,Implant (material),climate change,4,23.235839114819026,,Current
UKR,Implant (manufac.),climate change,4,5.064614932909173,,Current
UKR,Argon,climate change,4,0.0010059398449615078,,Current
UKR,Instruments (material),climate change,4,0.7484380061769837,,Current
UKR,Instruments (manufac.),climate change,4,0.020192301073453732,,Current
UKR,Packaging,climate change,4,0.3163322291059822,,Current
UKR,Sterilisation,climate change,4,1.026341277758452,,Current
UKR,Transport,climate change,4,3.8159600575700736,,Current
UKR,Anesthesia,climate change,4,3.722156108564882,,Current
UKR,End-of-life,climate change,4,0.13799704173221367,,Current
CM HTO,Total,climate change,4,10.857328517287627,,Current
CM HTO,Implant (material),climate change,4,4.4394874698726134,,Current
CM HTO,Implant (manufac.),climate change,4,0.35230069313922685,,Current
CM HTO,Argon,climate change,4,2.5148494294243893e-05,,Current
CM HTO,Instruments (material),climate change,4,0.7484380061769837,,Current
CM HTO,Instruments (manufac.),climate change,4,0.020192301073453732,,Current
CM HTO,Packaging,climate change,4,0.24920517825104202,,Current
CM HTO,Sterilisation,climate change,4,0.4921753911802592,,Current
CM HTO,Transport,climate change,4,0.8333482205348673,,Current
CM HTO,Anesthesia,climate change,4,3.722156108564882,,Current
CM HTO,End-of-life,climate change,4,0.0,,Current
AM HTO,Total,climate change,4,12.602830756397825,,Current
AM HTO,Implant (material),climate change,4,2.3363515878419614,,Current
AM HTO,Implant (manufac.),climate change,4,1.5780311382661156,,Current
AM HTO,Argon,climate change,4,0.7017330127953428,,Current
