scenario,energy_scenario,mean,median,minimum,maximum,25th Percentile,75th Percentile,IQR
AM HTO,Current,13.397265553132303,13.369392111081535,11.85320012849663,19.108514574872824,13.01133028593373,13.740543714444483,0.7292134285107537
AM HTO,Greener,10.507698754194765,10.477924007521544,9.166971710135918,14.0229230582467,10.182862118368526,10.774983378317238,0.592121259948712
AM HTO (steel jig),Current,11.945392822257933,11.944515765063938,10.576953396779295,14.758037502526742,11.659429882465279,12.236522032063467,0.5770921495981884
AM HTO (steel jig),Greener,8.355035839467343,8.330581623292842,7.405099772202858,10.189363583859095,8.123936356828999,8.568173196958819,0.44423684012982
CM HTO,Current,10.72543148701443,10.675280221077664,8.409235499591844,14.945944094266816,10.004531458354109,11.420959754981673,1.416428296627565
UKR,Current,37.959266725370966,37.93358097526022,32.58025944620414,43.570433675275936,36.87603139415987,38.954482489494985,2.0784510953351187
